epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,532.873,1.2037,1.94899,1.31675,1.60037,0.54105,0.69388,0.64306,0.3153,0.55742,0.71429,0.65448,0.28645,1.53568,2.76866,2.11588,2.02049,0.001406,0.001406,0.001406
32,552.003,1.23226,2.10314,1.34231,1.61339,0.6898,0.55102,0.62919,0.30151,0.71075,0.57143,0.64251,0.28399,1.51108,2.57361,1.7756,1.91653,0.0013862,0.0013862,0.0013862
33,566.66,1.27583,2.1658,1.33981,1.64367,0.63813,0.61181,0.64633,0.30866,0.65942,0.63222,0.67404,0.29346,1.61434,2.83321,1.73418,1.97608,0.0013664,0.0013664,0.0013664
34,583.527,1.32691,2.02855,1.44752,1.64393,0.5147,0.71429,0.62626,0.31071,0.52817,0.71429,0.63501,0.29335,1.67999,2.64797,1.71578,1.96226,0.0013466,0.0013466,0.0013466
35,598.643,1.13051,2.01544,1.32678,1.50411,0.55959,0.69388,0.60439,0.31433,0.54929,0.67347,0.58335,0.28871,1.55762,2.65382,1.78831,1.87675,0.0013268,0.0013268,0.0013268
36,618.003,1.09957,1.85458,1.28592,1.48754,0.57509,0.69058,0.58192,0.31528,0.57509,0.69058,0.60169,0.2955,1.48818,2.44386,1.85028,1.85032,0.001307,0.001307,0.001307
37,633.237,1.14907,2.07844,1.28835,1.54377,0.62644,0.69388,0.65662,0.31051,0.62644,0.69388,0.63442,0.28938,1.57155,2.4965,1.91107,1.87915,0.0012872,0.0012872,0.0012872
38,648.258,1.03986,1.82603,1.15201,1.43627,0.49398,0.65306,0.58578,0.25941,0.56337,0.55301,0.55134,0.25622,1.77891,2.86002,1.98941,2.03726,0.0012674,0.0012674,0.0012674
39,668.675,1.10339,1.91752,1.27684,1.52028,0.71242,0.65306,0.67505,0.32095,0.67089,0.61224,0.65101,0.31412,1.52787,2.53176,1.69325,1.89249,0.0012476,0.0012476,0.0012476
40,692.946,1.13029,2.09766,1.34303,1.48165,0.59004,0.65306,0.5481,0.26639,0.63394,0.69388,0.59116,0.26249,1.50508,2.52318,1.92088,1.89016,0.0012278,0.0012278,0.0012278
