                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    272,                 1.1056,                 1.6556,                0.95059,                 1.1803,                0.58141,                0.52322,                0.51091,                0.30609,                0.50364,                0.47625,                0.42121,                0.23252,                 1.5039,                 2.3636,                 1.4019,                 1.5641,              0.0073171,              0.0073171,              0.0073171
                    273,                 1.1121,                 1.6567,                0.94853,                 1.1724,                0.51957,                0.51282,                0.52865,                0.29076,                0.47256,                0.49743,                0.46767,                0.22895,                 1.5259,                 2.4051,                  1.413,                 1.5608,              0.0073072,              0.0073072,              0.0073072
                    274,                 1.0827,                 1.6095,                0.91922,                 1.1677,                0.61524,                0.52058,                0.54631,                0.32222,                0.61058,                0.51482,                0.50902,                0.25579,                 1.5057,                  2.366,                 1.3378,                 1.5497,              0.0072973,              0.0072973,              0.0072973
                    275,                 1.1007,                 1.6568,                0.92228,                 1.1684,                0.67455,                0.49595,                0.56278,                0.32265,                0.62883,                0.46509,                0.48448,                0.23875,                 1.5567,                 2.4065,                  1.379,                 1.5936,              0.0072874,              0.0072874,              0.0072874
                    276,                 1.0754,                 1.5884,                0.91183,                 1.1718,                0.63554,                0.53911,                0.56475,                 0.3271,                0.58859,                0.50193,                0.49627,                0.25612,                 1.5511,                 2.2465,                 1.2963,                 1.5757,              0.0072775,              0.0072775,              0.0072775
                    277,                 1.0713,                 1.6243,                0.91746,                 1.1694,                0.61246,                0.54068,                0.56814,                 0.3279,                0.59308,                0.51828,                0.50668,                0.25734,                 1.5564,                 2.3726,                 1.2955,                  1.576,              0.0072676,              0.0072676,              0.0072676
                    278,                 1.0703,                 1.5938,                0.90665,                  1.172,                0.59155,                0.49927,                0.54847,                0.30752,                0.54259,                0.46532,                0.47807,                0.23817,                 1.5997,                 2.4779,                 1.3745,                 1.6438,              0.0072577,              0.0072577,              0.0072577
                    279,                 1.1206,                 1.6824,                0.92751,                  1.174,                0.56656,                0.50102,                0.51839,                0.29657,                0.50323,                0.49172,                0.45238,                0.22498,                 1.5792,                 2.6106,                 1.3861,                 1.6258,              0.0072478,              0.0072478,              0.0072478
                    280,                 1.0943,                 1.6436,                0.93341,                 1.1911,                0.67619,                0.45718,                0.51501,                 0.2952,                0.57027,                0.40859,                0.43572,                 0.2301,                 1.5819,                 2.7133,                  1.434,                 1.6776,              0.0072379,              0.0072379,              0.0072379
                    281,                   1.13,                 1.6598,                0.95599,                 1.1959,                0.62376,                0.47975,                0.51674,                0.28532,                 0.5377,                0.48329,                0.45326,                0.23185,                 1.5687,                 2.5153,                 1.3624,                 1.6075,               0.007228,               0.007228,               0.007228
                    282,                 1.1363,                 1.6925,                0.95871,                 1.1905,                0.65487,                0.50147,                0.55293,                0.30558,                0.56283,                0.51463,                 0.4878,                0.23855,                 1.5137,                 2.4067,                 1.2834,                 1.5602,              0.0072181,              0.0072181,              0.0072181
                    283,                 1.1228,                 1.7149,                0.96627,                  1.192,                0.65089,                0.51819,                0.56064,                0.31982,                0.60804,                0.48411,                0.48084,                0.24754,                  1.478,                 2.4074,                 1.3172,                 1.5423,              0.0072082,              0.0072082,              0.0072082
                    284,                 1.0861,                 1.6568,                0.94764,                 1.1784,                0.59593,                0.48854,                0.52593,                0.30965,                0.54354,                0.47413,                0.45756,                0.22472,                 1.5239,                  2.578,                 1.3598,                 1.5772,              0.0071983,              0.0071983,              0.0071983
                    285,                 1.0965,                 1.6576,                0.93356,                 1.1859,                 0.6301,                0.50646,                0.53916,                0.32428,                0.60955,                0.50011,                0.49667,                0.25731,                 1.4605,                 2.5362,                  1.265,                 1.5469,              0.0071884,              0.0071884,              0.0071884
                    286,                 1.0664,                 1.6479,                 0.9219,                 1.1531,                0.60477,                 0.4655,                0.50977,                0.29788,                  0.526,                0.42602,                 0.4254,                0.22137,                 1.5303,                 2.6077,                 1.4463,                 1.5956,              0.0071785,              0.0071785,              0.0071785
                    287,                 1.1048,                 1.6593,                0.92324,                 1.1801,                0.54493,                0.51607,                0.52974,                0.30008,                0.50954,                 0.5153,                0.47141,                0.23767,                 1.5178,                 2.4326,                 1.3798,                 1.5837,              0.0071686,              0.0071686,              0.0071686
                    288,                 1.0692,                 1.5896,                0.92033,                 1.1582,                0.63399,                0.51213,                0.57228,                0.34086,                0.60569,                0.48758,                0.50958,                0.25594,                  1.452,                 2.3494,                 1.2702,                 1.5205,              0.0071587,              0.0071587,              0.0071587
                    289,                 1.0737,                  1.668,                0.91698,                 1.1733,                0.71333,                0.46867,                0.56087,                0.33615,                0.68007,                0.44635,                0.49448,                0.26056,                  1.481,                 2.4043,                 1.2681,                 1.5331,              0.0071488,              0.0071488,              0.0071488
                    290,                 1.0776,                 1.6097,                0.91233,                 1.1659,                0.60392,                0.52068,                0.56101,                0.31512,                 0.5546,                0.43222,                 0.4445,                0.23364,                 1.5763,                 2.6779,                 1.3351,                 1.6557,              0.0071389,              0.0071389,              0.0071389
                    291,                 1.1012,                  1.674,                0.93948,                 1.1744,                0.52784,                0.59101,                0.56738,                0.32787,                0.48008,                0.54271,                0.49265,                0.24534,                 1.5506,                 2.5243,                 1.3076,                 1.6185,               0.007129,               0.007129,               0.007129
                    292,                 1.0868,                 1.6268,                 0.9486,                 1.1753,                0.57087,                0.52034,                0.53796,                0.31365,                0.51738,                0.48211,                 0.4626,                0.23867,                 1.5776,                 2.5527,                 1.3182,                 1.6451,              0.0071191,              0.0071191,              0.0071191
                    293,                 1.0926,                 1.6255,                0.92704,                 1.1826,                0.67201,                 0.4985,                 0.5663,                0.33526,                  0.628,                0.46874,                0.49547,                0.25702,                  1.546,                  2.437,                 1.2884,                 1.5808,              0.0071092,              0.0071092,              0.0071092
                    294,                 1.0951,                 1.5986,                0.91335,                 1.1689,                0.59116,                0.57094,                0.59493,                0.33992,                0.55351,                0.53822,                0.52907,                0.27913,                 1.5328,                 2.3975,                 1.2967,                 1.5583,              0.0070993,              0.0070993,              0.0070993
                    295,                 1.0872,                 1.6493,                0.93726,                 1.1713,                0.52048,                0.44088,                0.48139,                0.26115,                0.54775,                0.35658,                0.39378,                0.20076,                 1.6126,                 2.8077,                 1.6259,                 1.6467,              0.0070894,              0.0070894,              0.0070894
                    296,                 1.0943,                 1.6717,                 0.9435,                 1.1828,                0.64655,                0.44853,                0.54822,                0.31164,                0.56939,                0.43037,                0.46917,                0.24979,                 1.5232,                   2.41,                 1.3854,                 1.5784,              0.0070795,              0.0070795,              0.0070795
                    297,                 1.0639,                 1.5924,                0.91323,                 1.1608,                0.62822,                 0.5522,                0.55706,                0.32399,                0.60549,                0.51858,                0.49691,                0.26655,                 1.4788,                 2.2945,                  1.259,                 1.5545,              0.0070696,              0.0070696,              0.0070696
                    298,                 1.0474,                 1.5751,                0.88988,                 1.1442,                0.67575,                0.53244,                 0.5588,                0.32245,                0.63228,                0.49163,                0.49973,                0.25931,                 1.4967,                 2.4122,                 1.3209,                 1.5887,              0.0070597,              0.0070597,              0.0070597
                    299,                 1.0753,                  1.613,                0.90367,                 1.1628,                0.58944,                0.53447,                0.56194,                0.32755,                0.52634,                0.54853,                0.51312,                0.26281,                 1.4931,                 2.3977,                 1.2981,                 1.5801,              0.0070498,              0.0070498,              0.0070498
                    300,                 1.0982,                 1.6222,                 0.9315,                 1.1672,                0.56843,                0.51808,                0.53965,                0.31917,                0.56326,                0.47546,                0.47662,                0.24057,                 1.5039,                 2.4051,                 1.3219,                 1.5765,              0.0070399,              0.0070399,              0.0070399
                    301,                 1.0851,                  1.672,                0.91621,                 1.1647,                0.59885,                0.53902,                0.56304,                0.32367,                0.55834,                0.50067,                0.48957,                0.24582,                 1.4536,                 2.2926,                 1.2762,                 1.5504,                0.00703,                0.00703,                0.00703
                    302,                 1.0576,                 1.5855,                0.89426,                 1.1512,                0.59486,                0.51245,                0.56177,                0.33412,                0.58407,                0.49161,                0.50676,                0.26124,                 1.4529,                 2.3568,                 1.2686,                 1.5427,              0.0070201,              0.0070201,              0.0070201
                    303,                 1.0573,                 1.5513,                0.88706,                 1.1432,                 0.5686,                0.49104,                0.52421,                0.30762,                0.49897,                0.50276,                0.48361,                 0.2398,                 1.5205,                  2.532,                 1.3708,                  1.583,              0.0070102,              0.0070102,              0.0070102
                    304,                 1.0521,                 1.5741,                0.89121,                 1.1589,                 0.6317,                0.47358,                0.52031,                0.30062,                0.54349,                0.47553,                0.46361,                0.23678,                 1.5354,                 2.6307,                 1.3987,                 1.5582,              0.0070003,              0.0070003,              0.0070003
                    305,                 1.0542,                 1.5739,                 0.9128,                 1.1715,                 0.6151,                0.45624,                0.52549,                0.30603,                0.54286,                0.42169,                0.44076,                0.22441,                  1.555,                 2.7202,                 1.4493,                 1.6097,              0.0069904,              0.0069904,              0.0069904
                    306,                 1.0582,                 1.6251,                0.90847,                 1.1462,                0.55284,                0.50993,                0.52493,                0.31676,                0.46272,                0.48716,                0.44413,                0.22737,                 1.4827,                 2.4998,                  1.332,                 1.5618,              0.0069805,              0.0069805,              0.0069805
                    307,                 1.0537,                    1.6,                  0.883,                 1.1441,                0.50604,                0.56887,                0.54833,                0.33271,                0.47156,                0.52201,                0.47014,                0.25625,                 1.4721,                 2.3733,                 1.2968,                 1.5481,              0.0069706,              0.0069706,              0.0069706
                    308,                  1.075,                 1.6267,                0.90916,                 1.1541,                0.60801,                0.49902,                0.54341,                0.31629,                0.56203,                 0.4848,                0.48598,                0.24938,                 1.5166,                 2.4125,                 1.3196,                 1.5801,              0.0069607,              0.0069607,              0.0069607
                    309,                 1.0913,                   1.63,                0.93482,                 1.1882,                0.62058,                0.52875,                0.55037,                0.31869,                0.61764,                0.48673,                0.47669,                0.24424,                  1.555,                 2.4597,                 1.3013,                 1.5966,              0.0069508,              0.0069508,              0.0069508
                    310,                 1.0936,                 1.6475,                0.93987,                 1.1686,                0.60856,                0.49613,                0.52012,                0.30313,                0.56732,                0.49218,                0.47404,                 0.2399,                  1.521,                 2.4411,                 1.3293,                 1.5709,              0.0069409,              0.0069409,              0.0069409
                    311,                 1.0683,                 1.5713,                 0.8929,                 1.1588,                0.57063,                0.48517,                0.49272,                0.28935,                0.51848,                0.45825,                0.42592,                0.22254,                 1.5334,                 2.5821,                 1.4329,                 1.5859,               0.006931,               0.006931,               0.006931
                    312,                 1.0795,                 1.6617,                0.89956,                 1.1511,                0.53143,                0.50667,                0.51007,                0.30111,                0.49092,                0.47569,                0.45087,                0.22844,                  1.509,                 2.3529,                 1.3364,                 1.5836,              0.0069211,              0.0069211,              0.0069211
                    313,                 1.0697,                 1.5894,                0.90386,                 1.1609,                0.54971,                0.48537,                0.49928,                0.27136,                0.57261,                0.43807,                0.45948,                0.22527,                 1.6174,                 2.5201,                 1.4858,                 1.6949,              0.0069112,              0.0069112,              0.0069112
                    314,                 1.1204,                 1.6551,                0.94205,                 1.1924,                0.58859,                0.51272,                0.53111,                0.29866,                0.56318,                0.50126,                0.47688,                0.25034,                 1.5285,                 2.4036,                 1.3945,                  1.597,              0.0069013,              0.0069013,              0.0069013
                    315,                 1.1079,                 1.6534,                 0.9204,                 1.1818,                0.64647,                0.49337,                0.53512,                0.30486,                0.60434,                0.45492,                0.46627,                0.24486,                 1.5386,                 2.4181,                  1.345,                  1.635,              0.0068914,              0.0068914,              0.0068914
                    316,                  1.026,                 1.5314,                0.88883,                 1.1503,                0.59286,                0.55495,                0.57072,                0.32113,                0.65707,                0.44575,                0.50266,                0.26205,                 1.5276,                 2.3824,                 1.2675,                 1.5867,              0.0068815,              0.0068815,              0.0068815
                    317,                 1.0434,                 1.5353,                0.87286,                 1.1474,                0.58725,                  0.522,                0.55597,                   0.33,                0.57478,                0.48108,                0.48274,                0.25136,                 1.4765,                  2.442,                 1.3485,                 1.5365,              0.0068716,              0.0068716,              0.0068716
                    318,                 1.0565,                 1.5489,                0.87979,                 1.1522,                0.54826,                0.52941,                0.55388,                0.32591,                0.50885,                0.49448,                0.48279,                0.24661,                 1.5044,                 2.4441,                 1.3155,                 1.5941,              0.0068617,              0.0068617,              0.0068617
                    319,                 1.0356,                 1.5902,                0.86466,                  1.139,                0.57143,                0.51779,                0.54938,                0.32004,                0.54103,                0.49244,                0.48191,                0.24326,                 1.5135,                 2.4688,                 1.3617,                 1.5812,              0.0068518,              0.0068518,              0.0068518
                    320,                 1.0727,                 1.5879,                0.87515,                 1.1515,                0.62285,                0.54647,                0.56117,                0.32701,                0.60517,                0.52357,                0.50971,                0.27106,                 1.5389,                 2.5323,                 1.3217,                 1.5894,              0.0068419,              0.0068419,              0.0068419
                    321,                 1.0809,                  1.578,                 0.8961,                 1.1592,                0.60074,                0.53126,                0.55077,                 0.3158,                 0.5382,                0.47783,                0.46049,                0.24703,                 1.4988,                 2.4052,                 1.3273,                 1.5463,               0.006832,               0.006832,               0.006832
                    322,                 1.0465,                  1.561,                0.87135,                 1.1515,                0.62016,                0.48686,                0.54123,                0.31465,                0.55638,                0.46244,                0.47088,                0.25192,                 1.5122,                 2.4923,                 1.4472,                 1.5789,              0.0068221,              0.0068221,              0.0068221
                    323,                  1.094,                 1.6459,                0.92741,                 1.1762,                0.61678,                0.48113,                 0.5401,                0.30591,                 0.4863,                0.47329,                0.45129,                0.23534,                 1.5299,                 2.5322,                 1.3756,                 1.6027,              0.0068122,              0.0068122,              0.0068122
                    324,                 1.0814,                 1.6026,                0.89665,                 1.1592,                0.52808,                0.56314,                0.55371,                 0.3258,                0.64558,                0.46104,                0.49264,                0.25686,                 1.4505,                 2.4527,                 1.2949,                 1.5192,              0.0068023,              0.0068023,              0.0068023
                    325,                 1.0595,                 1.5974,                0.89675,                 1.1472,                0.63187,                0.50103,                0.55065,                0.31924,                 0.5428,                 0.4758,                0.46247,                0.24292,                 1.4902,                 2.4352,                 1.3423,                 1.5434,              0.0067924,              0.0067924,              0.0067924
                    326,                 1.0902,                  1.635,                0.91545,                 1.1575,                0.66312,                0.48682,                0.52067,                0.29184,                0.58552,                0.44103,                0.43973,                0.22828,                  1.546,                 2.7795,                 1.3652,                 1.5824,              0.0067825,              0.0067825,              0.0067825
                    327,                 1.0565,                 1.6192,                0.89662,                 1.1484,                0.59165,                0.52455,                0.54192,                0.31305,                0.52769,                0.48638,                0.47006,                0.24559,                 1.5067,                 2.4734,                 1.3225,                 1.5928,              0.0067726,              0.0067726,              0.0067726
                    328,                 1.0419,                 1.5809,                0.86369,                 1.1496,                0.62255,                0.50833,                0.54506,                0.31683,                 0.5757,                0.51061,                 0.4839,                 0.2541,                 1.5291,                 2.3474,                 1.3038,                 1.5816,              0.0067627,              0.0067627,              0.0067627
                    329,                 1.0668,                 1.5401,                0.88621,                 1.1668,                0.61842,                 0.4889,                0.52926,                0.28985,                0.57441,                0.46085,                0.44924,                0.22607,                 1.5726,                 2.3395,                 1.4116,                 1.6356,              0.0067528,              0.0067528,              0.0067528
                    330,                 1.0461,                 1.5675,                0.88332,                 1.1356,                0.59984,                0.50599,                0.54246,                0.30515,                  0.576,                0.45403,                0.45653,                0.24854,                 1.5384,                 2.5529,                 1.3579,                  1.595,              0.0067429,              0.0067429,              0.0067429
                    331,                 1.0578,                  1.578,                 0.9091,                 1.1739,                0.50045,                0.53919,                0.50103,                0.25903,                0.47618,                0.44396,                 0.4144,                0.20249,                 1.6492,                 2.6814,                 1.5114,                 1.7118,               0.006733,               0.006733,               0.006733
                    332,                 1.0158,                 1.5711,                0.84027,                 1.1219,                0.58211,                0.51332,                0.55139,                 0.3171,                0.57548,                0.47052,                0.48096,                0.23405,                 1.4821,                 2.3948,                 1.3427,                 1.5623,              0.0067231,              0.0067231,              0.0067231
                    333,                 1.0006,                  1.491,                 0.8392,                  1.127,                0.67719,                0.50811,                0.55858,                0.31222,                0.60437,                0.46932,                0.48276,                0.24334,                 1.5286,                 2.4445,                 1.3614,                 1.6106,              0.0067132,              0.0067132,              0.0067132
                    334,                 1.0208,                  1.537,                0.82803,                 1.1169,                0.59663,                0.53826,                0.57335,                0.32259,                0.52492,                0.50239,                 0.4906,                0.25848,                 1.5133,                 2.3532,                 1.3109,                 1.5712,              0.0067033,              0.0067033,              0.0067033
                    335,                 1.0076,                 1.4651,                0.82739,                 1.1213,                0.60284,                0.53791,                0.57592,                0.33053,                0.53017,                0.51062,                0.48589,                 0.2527,                 1.5216,                 2.5114,                 1.3819,                 1.6021,              0.0066934,              0.0066934,              0.0066934
                    336,                  1.002,                 1.5137,                0.83744,                 1.1275,                0.62846,                0.51514,                0.56012,                0.31882,                0.59439,                0.48594,                 0.4835,                0.25599,                 1.5388,                 2.4272,                 1.3411,                 1.5711,              0.0066835,              0.0066835,              0.0066835
                    337,                 1.0329,                 1.5063,                0.85348,                 1.1351,                0.61195,                 0.4944,                0.51777,                0.30199,                0.58536,                 0.4429,                0.45682,                0.23437,                 1.5765,                 2.3896,                 1.3575,                 1.5991,              0.0066736,              0.0066736,              0.0066736
                    338,                 1.0061,                 1.4893,                0.84521,                  1.126,                0.61914,                0.52509,                0.54506,                0.31304,                0.54869,                0.50846,                0.47808,                 0.2465,                 1.5354,                 2.4554,                 1.3037,                 1.6128,              0.0066637,              0.0066637,              0.0066637
                    339,                 1.0103,                  1.534,                0.83663,                 1.1174,                0.60536,                0.50272,                0.52877,                0.30316,                0.60796,                0.46817,                0.47091,                0.25528,                 1.5253,                 2.5062,                 1.3299,                 1.6255,              0.0066538,              0.0066538,              0.0066538
                    340,                 1.0302,                 1.5287,                 0.8497,                 1.1267,                0.60016,                 0.5346,                0.55817,                 0.3235,                0.58142,                0.51929,                0.49289,                0.25295,                 1.4475,                 2.3169,                 1.2928,                  1.533,              0.0066439,              0.0066439,              0.0066439
                    341,                  1.068,                 1.5648,                0.87121,                 1.1485,                0.57739,                0.51797,                0.53259,                0.31257,                  0.544,                0.54387,                0.50186,                0.25813,                 1.4967,                 2.4187,                 1.3487,                 1.5902,               0.006634,               0.006634,               0.006634
                    342,                  1.061,                 1.5783,                0.87606,                 1.1452,                 0.5784,                0.50627,                0.53048,                0.30214,                0.57136,                0.48544,                0.47809,                0.24008,                 1.4982,                  2.369,                 1.3453,                 1.5918,              0.0066241,              0.0066241,              0.0066241
                    343,                 1.0733,                 1.5763,                0.89653,                 1.1507,                0.54763,                 0.5724,                0.56348,                0.33704,                0.50172,                0.52722,                0.49525,                0.25627,                 1.4628,                 2.4198,                 1.2767,                 1.5707,              0.0066142,              0.0066142,              0.0066142
                    344,                 1.0489,                 1.5996,                0.87717,                 1.1409,                0.58234,                0.51989,                0.55706,                0.32688,                0.58653,                0.47319,                0.49052,                0.25023,                 1.4839,                 2.4558,                 1.3131,                  1.582,              0.0066043,              0.0066043,              0.0066043
                    345,                 1.0566,                  1.628,                0.87172,                 1.1305,                0.60871,                0.53847,                0.54054,                0.30719,                0.63467,                0.50573,                0.49824,                0.24849,                  1.549,                 2.4836,                 1.3382,                 1.6163,              0.0065944,              0.0065944,              0.0065944
                    346,                 1.0335,                 1.5549,                0.87998,                 1.1425,                 0.6259,                0.50924,                 0.5626,                0.31783,                0.59199,                0.47082,                0.48696,                0.25337,                 1.5563,                  2.472,                 1.3221,                 1.6074,              0.0065845,              0.0065845,              0.0065845
                    347,                 1.0261,                 1.5244,                0.85244,                 1.1319,                0.49326,                0.55167,                0.52777,                0.30601,                0.48182,                0.51053,                0.45403,                0.22396,                 1.5249,                 2.4551,                 1.3612,                 1.5632,              0.0065746,              0.0065746,              0.0065746
                    348,                 1.0612,                 1.5184,                0.87926,                 1.1631,                0.55542,                0.38657,                  0.427,                0.23439,                0.39666,                0.39106,                0.35501,                0.18117,                 1.5847,                 2.7305,                  1.972,                 1.6384,              0.0065647,              0.0065647,              0.0065647
                    349,                 1.0206,                 1.5329,                0.85916,                 1.1297,                0.58977,                0.44377,                0.49354,                0.28231,                 0.5303,                0.37037,                0.40116,                0.21013,                 1.5425,                 2.5495,                 1.7301,                 1.6166,              0.0065548,              0.0065548,              0.0065548
                    350,                 1.0089,                 1.5293,                0.84449,                 1.1355,                0.62427,                0.49971,                0.54911,                0.31227,                0.55987,                0.48751,                0.47454,                0.24111,                 1.5411,                 2.4146,                  1.296,                 1.6278,              0.0065449,              0.0065449,              0.0065449
                    351,                 1.0151,                 1.5285,                0.84386,                 1.1158,                0.52521,                 0.5829,                0.56354,                0.32318,                0.50256,                0.55712,                0.51399,                0.25918,                 1.5109,                 2.4787,                 1.2985,                 1.5831,               0.006535,               0.006535,               0.006535
                    352,                 1.0044,                 1.4868,                0.83642,                 1.1335,                0.53565,                0.42313,                0.43082,                0.25025,                0.51197,                0.38814,                0.39389,                0.20346,                 1.6971,                 2.8012,                 1.7625,                 1.7264,              0.0065251,              0.0065251,              0.0065251
                    353,                 1.0476,                 1.5137,                0.86387,                 1.1379,                0.37962,                0.36897,                0.32618,                0.18631,                0.34814,                0.33222,                0.27296,                0.14126,                 1.7999,                 3.2743,                 1.9031,                 1.8565,              0.0065152,              0.0065152,              0.0065152
                    354,                 1.0806,                 1.5492,                 0.8981,                 1.1616,                0.50425,                0.30886,                0.35078,                0.18233,                0.39489,                0.28591,                0.27804,                 0.1438,                 1.7858,                 3.2558,                 1.9564,                 1.8296,              0.0065053,              0.0065053,              0.0065053
                    355,                 1.0489,                 1.5633,                0.89057,                 1.1495,                0.52982,                0.49077,                0.49046,                0.26407,                0.51224,                0.41359,                0.41238,                0.21247,                 1.6173,                 2.6145,                 1.4791,                 1.6743,              0.0064954,              0.0064954,              0.0064954
                    356,                0.98397,                 1.4714,                0.82108,                  1.112,                0.59569,                0.52469,                0.53644,                0.31173,                0.55704,                0.48583,                 0.4672,                0.23889,                 1.4847,                 2.5574,                 1.3522,                 1.5695,              0.0064855,              0.0064855,              0.0064855
                    357,                 1.0813,                 1.5513,                0.87973,                 1.1591,                0.58054,                0.49245,                0.50197,                0.28492,                0.50637,                 0.4551,                0.42389,                0.22565,                 1.5967,                 2.7924,                 1.4347,                 1.6671,              0.0064756,              0.0064756,              0.0064756
                    358,                 1.0251,                 1.5021,                0.85814,                 1.1382,                0.61083,                0.49852,                0.54505,                0.31464,                0.55588,                0.50429,                0.48392,                 0.2528,                 1.5002,                  2.608,                 1.3646,                 1.5524,              0.0064657,              0.0064657,              0.0064657
                    359,                 1.0068,                 1.4964,                0.86275,                 1.1272,                0.58242,                0.50996,                0.53993,                0.32861,                0.56052,                0.50654,                0.49866,                0.25395,                 1.4696,                   2.48,                 1.3594,                 1.5519,              0.0064558,              0.0064558,              0.0064558
                    360,                 1.0128,                 1.5192,                 0.8492,                  1.121,                0.64023,                0.50133,                0.55711,                0.31742,                0.60764,                0.47778,                0.48594,                0.23592,                 1.5098,                 2.4904,                 1.2753,                 1.6357,              0.0064459,              0.0064459,              0.0064459
                    361,                 1.0039,                 1.4988,                0.84323,                  1.122,                0.62456,                0.50647,                 0.5409,                0.32231,                0.53543,                0.48173,                0.48094,                0.25109,                 1.5477,                 2.4764,                 1.3393,                 1.6385,               0.006436,               0.006436,               0.006436
                    362,                0.99974,                 1.4753,                0.81675,                 1.1008,                0.63604,                0.50779,                0.54845,                0.32821,                0.56453,                0.47568,                0.47826,                0.26644,                 1.4973,                 2.4897,                 1.3114,                 1.5958,              0.0064261,              0.0064261,              0.0064261
                    363,                0.96936,                 1.4577,                0.81046,                 1.1135,                0.63706,                0.50478,                0.54366,                0.31589,                 0.5992,                0.47779,                0.47751,                0.24821,                  1.489,                 2.5648,                 1.3475,                 1.5797,              0.0064162,              0.0064162,              0.0064162
                    364,                0.97195,                 1.5379,                0.80422,                 1.0964,                0.61324,                0.49125,                0.55135,                0.31148,                0.56861,                0.45743,                  0.483,                0.24428,                 1.4936,                 2.3933,                 1.3352,                 1.5733,              0.0064063,              0.0064063,              0.0064063
                    365,                 1.0045,                 1.4972,                0.82857,                 1.1196,                0.57437,                0.52356,                0.54072,                 0.3104,                0.56096,                0.51141,                0.50236,                   0.25,                 1.5091,                 2.4302,                 1.3378,                 1.5885,              0.0063964,              0.0063964,              0.0063964
