                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 1.8305,                 2.9193,                 1.8107,                 1.7437,                0.37579,                0.23483,                0.22051,                0.09719,                0.28695,                0.18805,                0.17095,                0.07005,                 2.1924,                 3.6157,                  2.667,                 2.0532,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.8499,                 2.9205,                 1.8014,                 1.7611,                0.51496,                0.21382,                0.24568,                0.10503,                0.50576,                0.20802,                 0.2281,                0.10001,                 2.1825,                 3.8392,                 2.6314,                 2.1307,              0.0097525,              0.0097525,              0.0097525
                     27,                 1.8256,                 2.8906,                 1.7699,                 1.7135,                0.41804,                 0.3034,                0.29181,                0.12356,                0.23646,                0.24148,                0.20272,                0.09306,                 2.0337,                 3.2419,                 2.2388,                 1.9679,              0.0097426,              0.0097426,              0.0097426
                     28,                 1.8619,                 2.9146,                 1.8232,                 1.7531,                 0.3815,                0.30118,                0.22047,                    0.1,                 0.2622,                0.26699,                0.18219,                0.07862,                 2.0453,                 3.4347,                 2.3895,                 2.0084,              0.0097327,              0.0097327,              0.0097327
                     29,                 1.8631,                 2.9196,                 1.8162,                 1.7473,                0.48556,                0.25672,                0.20176,                0.07871,                0.47644,                0.24507,                0.17219,                0.06477,                 2.0988,                  3.476,                 2.5077,                 2.0229,              0.0097228,              0.0097228,              0.0097228
                     30,                 1.8486,                  2.943,                 1.8003,                 1.7314,                0.46158,                0.23247,                0.25177,                0.11616,                0.60968,                0.19663,                0.22013,                0.09749,                 1.9874,                  3.308,                 2.3551,                 1.9344,              0.0097129,              0.0097129,              0.0097129
                     31,                 1.7521,                 2.7327,                 1.7015,                 1.6472,                0.33269,                0.35449,                 0.2811,                0.12696,                0.28193,                0.22674,                0.21912,                0.09947,                 1.9888,                 3.3104,                 2.1982,                 1.9685,               0.009703,               0.009703,               0.009703
                     32,                 1.7579,                 2.7863,                 1.6987,                 1.6773,                0.43202,                0.29097,                0.27933,                0.13371,                0.38281,                0.26536,                0.22827,                0.10352,                 1.9526,                   3.26,                 2.0749,                 1.8906,              0.0096931,              0.0096931,              0.0096931
                     33,                 1.7479,                 2.7308,                 1.6738,                 1.6589,                0.39042,                0.31262,                0.25576,                0.12055,                0.36452,                0.27398,                 0.2149,                0.09236,                 1.9548,                 3.4173,                 2.0956,                 1.9091,              0.0096832,              0.0096832,              0.0096832
                     34,                 1.7156,                 2.6901,                 1.6717,                 1.6423,                0.47171,                0.24352,                0.25722,                0.12988,                0.43851,                0.23162,                0.22701,                0.11368,                 1.9556,                 3.2929,                 2.3434,                 1.9235,              0.0096733,              0.0096733,              0.0096733
